id,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
66,female,32,158.0,57.0,1.0,76.0,37.9,4.0
67,female,31,161.0,58.0,15.0,86.0,40.1,57.0
68,male,21,171.0,77.0,26.0,97.0,40.3,105.0
69,male,79,169.0,77.0,5.0,88.0,38.6,27.0
70,female,34,150.0,56.0,23.0,100.0,40.4,128.0
71,female,27,184.0,71.0,9.0,87.0,39.9,35.0
72,female,23,173.0,70.0,16.0,92.0,40.3,70.0
73,male,26,193.0,93.0,5.0,78.0,39.4,8.0
74,male,34,181.0,87.0,18.0,99.0,40.5,96.0
75,male,28,203.0,105.0,29.0,112.0,40.8,209.0
76,male,39,181.0,81.0,5.0,77.0,39.2,7.0
77,female,37,168.0,65.0,9.0,89.0,39.8,39.0
78,male,62,183.0,88.0,29.0,108.0,40.7,235.0
79,male,62,177.0,80.0,23.0,99.0,40.6,151.0
80,male,21,191.0,99.0,14.0,94.0,40.0,58.0
81,male,38,182.0,81.0,19.0,94.0,40.6,88.0
82,male,42,192.0,98.0,16.0,90.0,40.1,68.0
83,male,29,180.0,80.0,20.0,98.0,40.6,97.0
84,female,37,164.0,59.0,27.0,106.0,40.9,170.0
85,female,44,178.0,77.0,17.0,81.0,40.2,60.0
86,female,61,157.0,60.0,22.0,105.0,40.8,145.0
87,male,48,201.0,104.0,12.0,88.0,40.0,59.0
88,female,32,162.0,59.0,24.0,110.0,40.5,154.0
89,male,42,200.0,103.0,17.0,90.0,40.4,81.0
90,female,42,168.0,65.0,11.0,80.0,39.8,42.0
91,male,45,195.0,99.0,29.0,110.0,40.9,221.0
92,female,31,168.0,64.0,8.0,85.0,39.9,31.0
93,female,24,163.0,60.0,11.0,94.0,39.9,52.0
94,male,40,177.0,74.0,22.0,101.0,40.8,124.0
95,male,33,170.0,77.0,13.0,94.0,40.1,54.0
96,male,68,187.0,85.0,14.0,92.0,40.2,84.0
97,female,39,166.0,62.0,24.0,102.0,40.5,140.0
98,female,58,165.0,61.0,29.0,108.0,40.6,198.0
99,female,67,181.0,76.0,3.0,92.0,38.3,17.0
100,male,32,194.0,99.0,12.0,97.0,40.1,63.0
101,male,40,190.0,91.0,17.0,104.0,40.3,109.0
102,male,20,181.0,81.0,27.0,111.0,40.7,166.0
103,male,26,194.0,96.0,7.0,92.0,39.6,31.0
104,female,23,165.0,68.0,12.0,95.0,40.0,55.0
105,male,41,195.0,93.0,2.0,81.0,37.5,5.0
106,female,40,161.0,60.0,13.0,93.0,40.2,64.0
107,male,75,202.0,101.0,19.0,102.0,40.8,145.0
108,male,25,185.0,84.0,23.0,92.0,40.5,90.0
109,male,45,195.0,94.0,27.0,109.0,40.9,200.0
110,male,32,184.0,84.0,13.0,92.0,39.8,52.0
111,male,44,182.0,87.0,27.0,111.0,41.1,200.0
112,female,50,169.0,65.0,22.0,96.0,40.8,115.0
113,male,33,179.0,84.0,18.0,103.0,40.1,102.0
114,male,34,198.0,100.0,29.0,116.0,40.9,230.0
115,female,24,171.0,69.0,24.0,109.0,40.8,149.0
116,female,38,173.0,68.0,18.0,97.0,40.5,92.0
117,male,30,185.0,89.0,30.0,106.0,41.0,185.0
118,female,40,169.0,64.0,19.0,101.0,40.5,110.0
119,male,20,197.0,95.0,22.0,94.0,40.7,89.0
120,female,21,169.0,60.0,22.0,97.0,40.7,111.0
121,male,61,162.0,71.0,10.0,92.0,39.8,50.0
122,male,60,182.0,83.0,29.0,104.0,41.0,226.0
123,female,54,149.0,53.0,16.0,94.0,40.7,89.0
124,male,20,194.0,91.0,20.0,94.0,40.6,82.0
125,female,62,174.0,75.0,7.0,87.0,39.4,25.0
126,male,21,181.0,84.0,7.0,86.0,39.8,17.0
127,female,59,153.0,53.0,17.0,96.0,40.2,95.0
128,male,39,188.0,91.0,19.0,105.0,40.4,119.0
129,male,33,169.0,69.0,23.0,99.0,40.9,121.0
130,male,39,182.0,81.0,9.0,91.0,39.8,37.0
131,male,48,183.0,80.0,16.0,95.0,40.3,81.0
132,female,40,156.0,58.0,2.0,81.0,37.8,7.0
133,male,41,169.0,71.0,16.0,94.0,40.3,75.0
134,male,40,187.0,89.0,24.0,106.0,41.0,158.0
135,male,27,182.0,83.0,8.0,94.0,39.5,35.0
136,female,28,163.0,59.0,6.0,81.0,39.5,21.0
137,male,62,197.0,101.0,28.0,110.0,40.7,240.0
138,female,23,157.0,52.0,6.0,89.0,39.4,23.0
139,female,39,166.0,66.0,9.0,91.0,39.8,41.0
140,female,61,144.0,52.0,22.0,108.0,40.6,152.0
141,female,40,150.0,51.0,1.0,80.0,37.6,4.0
142,male,28,176.0,76.0,25.0,103.0,41.0,131.0
143,male,59,182.0,80.0,2.0,84.0,38.2,7.0
144,male,32,189.0,94.0,27.0,111.0,41.2,191.0
145,female,64,151.0,53.0,7.0,85.0,39.5,34.0
146,female,53,159.0,61.0,1.0,90.0,37.8,5.0
147,female,70,155.0,64.0,9.0,94.0,39.5,54.0
148,female,59,153.0,61.0,21.0,102.0,40.4,133.0
149,female,22,156.0,55.0,3.0,88.0,38.9,12.0
150,male,21,190.0,90.0,27.0,110.0,40.7,166.0
151,male,30,181.0,78.0,18.0,103.0,40.4,102.0
152,female,55,156.0,60.0,22.0,100.0,41.1,131.0
153,male,39,183.0,85.0,13.0,97.0,40.1,65.0
154,female,40,164.0,62.0,15.0,92.0,40.3,71.0
155,male,77,190.0,98.0,24.0,105.0,40.9,212.0
156,male,31,185.0,83.0,2.0,83.0,38.6,6.0
157,female,78,163.0,63.0,24.0,96.0,40.7,138.0
158,female,31,171.0,66.0,4.0,81.0,39.1,12.0
159,male,50,176.0,82.0,26.0,105.0,40.6,172.0
160,female,79,166.0,65.0,29.0,104.0,40.9,203.0
161,female,38,166.0,62.0,7.0,86.0,39.5,27.0
162,female,45,164.0,63.0,15.0,101.0,40.2,86.0
163,male,64,177.0,83.0,19.0,104.0,40.3,138.0
164,female,22,164.0,63.0,22.0,97.0,40.7,111.0
165,male,21,191.0,93.0,18.0,102.0,40.4,94.0
166,female,30,150.0,51.0,4.0,79.0,39.1,14.0
167,female,48,162.0,59.0,27.0,111.0,40.8,192.0
168,male,45,185.0,90.0,15.0,100.0,40.5,90.0
169,female,32,161.0,61.0,18.0,99.0,40.7,99.0
170,female,25,168.0,67.0,22.0,107.0,40.1,131.0
171,female,59,163.0,68.0,3.0,78.0,38.5,11.0
172,male,35,191.0,92.0,5.0,88.0,39.2,20.0
173,male,37,176.0,76.0,11.0,97.0,39.7,51.0
174,female,26,172.0,64.0,8.0,89.0,39.9,31.0
175,male,45,194.0,103.0,13.0,96.0,40.0,74.0
176,male,42,171.0,72.0,8.0,90.0,39.3,31.0
177,female,60,188.0,81.0,3.0,94.0,38.9,16.0
178,male,27,187.0,85.0,28.0,107.0,40.7,173.0
179,male,61,192.0,96.0,15.0,90.0,40.2,82.0
180,male,49,187.0,96.0,4.0,85.0,39.0,15.0
181,male,62,178.0,82.0,27.0,107.0,40.6,203.0
182,female,66,163.0,61.0,27.0,102.0,40.7,166.0
183,female,20,171.0,65.0,7.0,89.0,39.4,26.0
184,female,41,170.0,63.0,22.0,103.0,40.4,133.0
185,female,22,160.0,60.0,17.0,95.0,40.4,83.0
186,female,56,166.0,63.0,5.0,82.0,39.1,20.0
187,female,45,151.0,54.0,23.0,106.0,40.7,151.0
188,female,26,169.0,65.0,22.0,102.0,40.6,123.0
189,male,25,162.0,62.0,26.0,104.0,40.7,145.0
190,male,68,172.0,80.0,23.0,99.0,40.9,161.0
191,female,41,158.0,57.0,25.0,106.0,40.6,161.0
192,male,44,183.0,86.0,23.0,103.0,40.8,145.0
193,female,37,172.0,65.0,7.0,86.0,39.3,29.0
194,male,59,191.0,89.0,10.0,93.0,39.7,54.0
195,male,40,194.0,94.0,3.0,86.0,38.9,13.0
196,female,52,158.0,58.0,11.0,90.0,40.1,55.0
197,female,28,163.0,66.0,13.0,94.0,40.2,62.0
198,male,21,176.0,78.0,25.0,102.0,40.8,125.0
199,male,21,197.0,104.0,22.0,99.0,40.7,110.0
200,male,35,194.0,92.0,16.0,103.0,40.5,97.0
201,female,20,157.0,59.0,1.0,80.0,37.9,4.0
202,male,64,192.0,92.0,27.0,107.0,40.6,223.0
203,male,51,191.0,94.0,3.0,81.0,38.8,10.0
204,female,54,153.0,58.0,6.0,90.0,39.4,30.0
205,female,20,162.0,64.0,27.0,106.0,40.8,159.0
206,female,21,153.0,58.0,7.0,89.0,39.6,31.0
207,female,73,170.0,67.0,19.0,101.0,40.4,118.0
208,female,26,165.0,66.0,10.0,91.0,39.6,43.0
209,male,40,190.0,88.0,4.0,90.0,38.3,17.0
210,female,30,161.0,64.0,30.0,104.0,41.0,176.0
211,female,42,162.0,60.0,25.0,110.0,40.6,172.0
212,female,32,176.0,71.0,3.0,81.0,38.6,10.0
213,male,61,187.0,94.0,21.0,95.0,40.7,130.0
214,female,35,175.0,73.0,14.0,101.0,40.2,75.0
215,male,26,172.0,74.0,24.0,111.0,40.8,153.0
216,male,35,181.0,80.0,26.0,108.0,40.8,167.0
217,female,22,169.0,64.0,24.0,100.0,40.7,129.0
218,male,27,175.0,77.0,23.0,93.0,40.3,93.0
219,female,73,158.0,55.0,15.0,93.0,40.1,83.0
220,female,25,175.0,62.0,17.0,91.0,40.2,78.0
221,male,45,201.0,98.0,16.0,99.0,40.3,96.0
222,female,23,157.0,58.0,15.0,99.0,40.3,80.0
223,female,21,185.0,84.0,24.0,109.0,40.9,147.0
224,male,21,191.0,93.0,20.0,100.0,40.6,99.0
225,male,42,162.0,66.0,23.0,102.0,40.6,131.0
226,female,28,165.0,61.0,4.0,82.0,38.8,14.0
227,female,58,173.0,72.0,26.0,108.0,40.8,182.0
228,female,22,162.0,61.0,3.0,82.0,38.6,9.0
229,male,66,196.0,93.0,26.0,111.0,40.8,218.0
230,female,48,158.0,60.0,11.0,91.0,40.2,53.0
231,male,59,170.0,76.0,13.0,96.0,40.1,79.0
232,male,64,179.0,84.0,27.0,107.0,41.0,213.0
233,male,45,174.0,78.0,30.0,112.0,40.8,225.0
234,female,50,182.0,81.0,23.0,102.0,40.7,134.0
235,female,43,152.0,53.0,15.0,85.0,40.5,62.0
236,male,41,183.0,82.0,14.0,91.0,40.3,57.0
237,female,54,158.0,65.0,9.0,96.0,39.9,48.0
238,male,25,185.0,86.0,21.0,110.0,40.4,131.0
239,female,51,158.0,62.0,7.0,79.0,39.6,26.0
240,female,56,169.0,73.0,7.0,94.0,39.1,33.0
241,female,40,169.0,63.0,7.0,86.0,39.5,29.0
242,female,27,161.0,62.0,23.0,103.0,40.9,130.0
243,male,22,181.0,78.0,6.0,81.0,39.6,9.0
244,female,40,179.0,81.0,9.0,95.0,39.7,44.0
245,female,41,162.0,59.0,11.0,95.0,39.7,56.0
246,female,42,162.0,62.0,26.0,104.0,41.1,158.0
247,female,61,169.0,73.0,28.0,107.0,40.9,191.0
248,female,23,169.0,71.0,19.0,104.0,40.5,104.0
249,female,45,162.0,58.0,23.0,92.0,40.6,113.0
250,male,44,179.0,83.0,10.0,89.0,39.8,44.0
251,male,42,184.0,86.0,7.0,96.0,39.7,35.0
252,male,40,179.0,82.0,5.0,83.0,39.0,14.0
253,male,39,182.0,81.0,14.0,99.0,39.9,72.0
254,female,32,168.0,66.0,2.0,83.0,38.5,7.0
255,female,69,165.0,66.0,14.0,88.0,40.3,71.0
256,female,24,158.0,61.0,3.0,91.0,38.9,13.0
257,female,37,161.0,62.0,17.0,96.0,40.3,84.0
258,male,54,183.0,83.0,8.0,84.0,39.7,31.0
259,male,23,188.0,96.0,28.0,108.0,40.8,177.0
260,female,33,163.0,60.0,21.0,94.0,40.5,107.0
261,female,21,159.0,57.0,17.0,104.0,40.0,98.0
262,female,59,171.0,70.0,26.0,105.0,40.4,168.0
263,male,48,179.0,83.0,7.0,93.0,39.3,33.0
264,female,75,179.0,75.0,30.0,102.0,41.2,194.0
265,male,31,187.0,93.0,4.0,95.0,38.3,20.0
266,male,22,190.0,87.0,23.0,104.0,41.0,127.0
267,male,35,193.0,96.0,17.0,89.0,40.4,71.0
268,male,22,194.0,98.0,26.0,105.0,40.8,148.0
269,female,50,168.0,64.0,19.0,98.0,40.3,112.0
270,female,40,157.0,61.0,21.0,108.0,40.2,137.0
271,male,52,187.0,91.0,24.0,111.0,40.7,195.0
272,female,42,162.0,64.0,17.0,89.0,40.0,78.0
273,female,29,167.0,66.0,25.0,102.0,40.7,140.0
274,male,28,179.0,78.0,7.0,89.0,39.5,25.0
275,female,22,158.0,58.0,8.0,88.0,39.8,32.0
276,male,41,173.0,78.0,5.0,88.0,39.0,18.0
277,female,39,167.0,63.0,5.0,81.0,39.0,17.0
278,female,47,161.0,60.0,22.0,107.0,40.5,146.0
279,female,22,158.0,58.0,9.0,96.0,39.7,45.0
280,male,49,180.0,83.0,28.0,107.0,40.6,203.0
281,male,50,183.0,87.0,26.0,108.0,40.9,192.0
282,female,54,172.0,70.0,13.0,93.0,40.3,68.0
283,male,46,195.0,99.0,12.0,92.0,40.2,59.0
284,male,27,179.0,73.0,16.0,87.0,40.2,52.0
285,male,51,184.0,92.0,11.0,94.0,39.9,58.0
286,male,43,173.0,76.0,29.0,111.0,40.9,206.0
287,male,21,187.0,85.0,21.0,100.0,40.3,101.0
288,female,51,165.0,66.0,15.0,100.0,39.9,86.0
289,male,49,177.0,83.0,9.0,86.0,39.3,34.0
290,female,36,173.0,65.0,17.0,99.0,40.4,93.0
291,male,21,183.0,81.0,10.0,99.0,39.6,45.0
292,male,57,183.0,77.0,29.0,114.0,40.9,246.0
293,male,45,194.0,91.0,1.0,78.0,37.7,3.0
294,male,21,187.0,80.0,9.0,90.0,39.6,30.0
295,male,32,179.0,72.0,17.0,103.0,40.4,88.0
296,male,60,192.0,98.0,23.0,107.0,40.9,179.0
297,male,49,178.0,83.0,4.0,77.0,38.9,10.0
298,male,64,188.0,86.0,10.0,88.0,39.6,52.0
299,female,50,155.0,58.0,30.0,96.0,41.0,164.0
300,male,70,167.0,69.0,11.0,93.0,39.9,59.0
301,female,52,161.0,60.0,14.0,93.0,40.3,72.0
302,female,51,163.0,62.0,1.0,76.0,37.9,3.0
303,female,40,161.0,60.0,13.0,93.0,40.0,64.0
304,male,38,183.0,86.0,24.0,102.0,40.6,142.0
305,male,70,203.0,104.0,27.0,108.0,40.7,234.0
306,female,50,164.0,61.0,21.0,106.0,40.6,136.0
307,female,73,176.0,69.0,26.0,110.0,40.8,188.0
308,female,66,165.0,66.0,23.0,100.0,41.3,138.0
309,female,40,169.0,70.0,6.0,83.0,39.1,21.0
310,male,28,184.0,79.0,5.0,94.0,39.1,20.0
311,female,40,159.0,58.0,7.0,86.0,39.5,28.0
312,female,56,161.0,71.0,11.0,92.0,40.0,60.0
313,male,22,175.0,73.0,19.0,100.0,40.3,92.0
314,female,46,159.0,59.0,19.0,91.0,40.7,90.0
315,male,28,177.0,79.0,6.0,82.0,39.4,14.0
316,male,58,188.0,93.0,3.0,76.0,38.5,9.0
317,female,30,164.0,61.0,10.0,89.0,39.5,42.0
318,male,26,176.0,73.0,18.0,92.0,40.0,71.0
319,male,48,194.0,101.0,11.0,95.0,39.8,61.0
320,male,74,177.0,82.0,18.0,102.0,40.3,131.0
321,male,54,169.0,73.0,5.0,90.0,39.4,25.0
322,male,20,164.0,68.0,20.0,91.0,40.6,89.0
323,female,77,158.0,58.0,22.0,102.0,40.7,148.0
324,male,22,175.0,75.0,12.0,87.0,40.7,33.0
325,female,72,160.0,57.0,29.0,107.0,40.6,205.0
326,male,60,180.0,83.0,25.0,103.0,40.8,178.0
327,male,59,192.0,99.0,4.0,83.0,39.0,17.0
328,female,41,166.0,66.0,28.0,105.0,40.7,177.0
329,female,24,173.0,67.0,24.0,106.0,40.9,142.0
330,male,53,178.0,83.0,10.0,86.0,39.9,45.0
331,female,22,164.0,58.0,21.0,99.0,40.8,113.0
332,female,25,158.0,58.0,22.0,95.0,40.7,108.0
333,female,64,158.0,61.0,3.0,87.0,38.8,13.0
334,male,27,179.0,72.0,22.0,97.0,40.3,108.0
335,male,50,201.0,103.0,22.0,98.0,40.4,137.0
336,male,65,178.0,80.0,7.0,86.0,39.5,36.0
337,male,53,179.0,82.0,12.0,89.0,40.3,51.0
338,male,42,186.0,88.0,9.0,84.0,39.8,30.0
339,female,45,155.0,56.0,22.0,99.0,40.7,126.0
340,female,34,171.0,67.0,21.0,104.0,40.6,127.0
341,male,41,184.0,85.0,19.0,102.0,40.3,114.0
342,male,26,179.0,80.0,22.0,101.0,40.9,112.0
343,male,79,184.0,87.0,21.0,98.0,40.7,155.0
344,male,61,167.0,69.0,10.0,83.0,40.1,31.0
345,male,48,184.0,82.0,11.0,90.0,40.0,51.0
346,female,64,179.0,72.0,17.0,103.0,40.5,104.0
347,female,75,158.0,61.0,10.0,91.0,39.7,53.0
348,female,25,162.0,58.0,5.0,82.0,39.3,17.0
349,female,23,147.0,51.0,3.0,82.0,38.3,9.0
350,female,32,163.0,63.0,19.0,101.0,40.4,107.0
351,female,50,164.0,64.0,12.0,94.0,40.0,62.0
352,male,27,186.0,86.0,10.0,88.0,39.3,33.0
353,female,74,162.0,59.0,6.0,91.0,39.4,33.0
354,male,21,182.0,81.0,12.0,97.0,40.1,48.0
355,female,26,169.0,68.0,16.0,101.0,40.5,89.0
356,male,45,203.0,105.0,3.0,87.0,38.7,14.0
357,male,54,174.0,76.0,6.0,96.0,39.1,32.0
358,male,33,185.0,88.0,15.0,95.0,40.0,72.0
359,female,21,172.0,67.0,19.0,101.0,40.4,102.0
360,female,40,151.0,55.0,7.0,88.0,39.4,31.0
361,female,76,166.0,62.0,8.0,86.0,39.5,42.0
362,male,48,196.0,99.0,8.0,93.0,39.3,41.0
363,male,30,185.0,87.0,26.0,110.0,40.9,178.0
364,female,35,163.0,63.0,30.0,105.0,40.9,183.0
365,female,31,159.0,59.0,7.0,78.0,39.5,24.0
366,male,28,188.0,91.0,22.0,100.0,40.7,114.0
367,male,66,176.0,82.0,14.0,96.0,40.0,85.0
368,female,31,173.0,66.0,3.0,80.0,38.6,8.0
369,female,21,161.0,57.0,20.0,99.0,40.6,98.0
370,female,21,165.0,64.0,27.0,105.0,40.6,159.0
371,female,33,168.0,62.0,4.0,78.0,38.9,13.0
372,female,21,161.0,64.0,7.0,83.0,39.8,24.0
373,female,42,172.0,71.0,3.0,84.0,38.7,11.0
374,female,32,184.0,77.0,30.0,108.0,40.6,192.0
375,male,25,187.0,90.0,26.0,102.0,40.7,138.0
376,female,36,164.0,58.0,6.0,89.0,39.3,26.0
377,male,40,196.0,102.0,10.0,88.0,39.7,41.0
378,female,23,172.0,65.0,25.0,104.0,40.4,143.0
379,female,33,175.0,71.0,14.0,95.0,40.2,66.0
380,female,22,179.0,71.0,10.0,101.0,39.8,55.0
381,male,21,179.0,78.0,16.0,97.0,40.3,70.0
382,female,60,172.0,75.0,10.0,86.0,40.1,44.0
383,female,24,169.0,66.0,10.0,91.0,39.6,45.0
384,female,20,162.0,60.0,5.0,76.0,39.7,12.0
385,female,35,171.0,70.0,14.0,95.0,40.3,66.0
386,male,30,181.0,83.0,18.0,93.0,40.0,72.0
387,male,59,187.0,90.0,5.0,91.0,38.7,27.0
388,female,36,170.0,69.0,23.0,103.0,40.7,135.0
389,male,59,194.0,101.0,2.0,81.0,38.1,8.0
390,male,20,171.0,69.0,22.0,101.0,40.4,96.0
391,female,45,157.0,58.0,6.0,88.0,39.1,26.0
392,female,28,176.0,77.0,4.0,82.0,38.8,12.0
393,male,55,187.0,90.0,10.0,78.0,40.1,35.0
394,female,22,175.0,70.0,28.0,108.0,40.9,166.0
395,male,36,173.0,70.0,9.0,84.0,39.7,25.0
396,female,62,156.0,55.0,16.0,101.0,40.4,101.0
397,female,55,153.0,58.0,19.0,97.0,40.4,110.0
398,female,64,169.0,69.0,14.0,96.0,39.9,75.0
399,male,50,190.0,97.0,5.0,87.0,39.4,19.0
400,male,50,179.0,84.0,19.0,106.0,40.8,135.0
401,male,40,201.0,101.0,5.0,84.0,39.1,18.0
402,male,45,187.0,88.0,1.0,83.0,37.8,4.0
403,male,31,182.0,84.0,13.0,96.0,40.1,58.0
404,female,34,151.0,48.0,29.0,114.0,41.2,199.0
405,male,64,197.0,105.0,15.0,88.0,40.6,88.0
406,female,52,173.0,74.0,2.0,87.0,38.2,8.0
407,male,47,176.0,83.0,24.0,106.0,40.8,169.0
408,male,51,172.0,78.0,19.0,100.0,40.4,113.0
409,female,31,153.0,57.0,8.0,92.0,39.5,34.0
410,male,73,194.0,96.0,14.0,89.0,40.1,83.0
411,female,35,169.0,68.0,14.0,92.0,40.0,65.0
412,female,24,163.0,57.0,25.0,110.0,40.7,162.0
413,female,35,159.0,53.0,29.0,110.0,40.9,200.0
414,male,58,182.0,89.0,9.0,87.0,39.6,45.0
415,male,24,179.0,77.0,22.0,97.0,40.5,96.0
416,male,24,173.0,71.0,30.0,114.0,41.0,192.0
417,male,21,180.0,79.0,30.0,112.0,40.7,203.0
418,female,40,161.0,61.0,11.0,88.0,40.0,50.0
419,female,42,151.0,54.0,24.0,113.0,40.6,176.0
420,female,62,166.0,61.0,3.0,82.0,38.9,12.0
421,male,45,172.0,75.0,8.0,86.0,39.6,31.0
422,female,20,172.0,68.0,24.0,107.0,40.6,144.0
423,female,23,163.0,60.0,17.0,96.0,40.2,84.0
424,female,25,170.0,72.0,23.0,101.0,40.7,123.0
425,male,42,183.0,86.0,12.0,88.0,40.0,51.0
426,female,39,169.0,66.0,7.0,84.0,39.6,28.0
427,female,29,171.0,62.0,20.0,101.0,40.5,114.0
428,female,64,164.0,62.0,18.0,98.0,40.3,104.0
429,female,45,164.0,66.0,27.0,111.0,40.7,189.0
430,male,71,170.0,73.0,16.0,94.0,40.6,102.0
431,female,22,171.0,62.0,22.0,97.0,40.7,111.0
432,male,24,188.0,94.0,4.0,75.0,38.7,6.0
433,male,29,192.0,94.0,24.0,99.0,40.9,127.0
434,male,46,190.0,94.0,2.0,81.0,38.5,7.0
435,female,35,164.0,59.0,29.0,109.0,40.8,192.0
436,male,41,187.0,85.0,3.0,81.0,38.6,8.0
437,male,59,183.0,87.0,5.0,88.0,39.1,21.0
438,female,64,155.0,57.0,23.0,102.0,41.0,149.0
439,female,26,170.0,60.0,19.0,111.0,40.4,133.0
440,female,32,163.0,62.0,7.0,97.0,39.5,37.0
441,male,65,185.0,90.0,9.0,94.0,39.8,56.0
442,female,37,160.0,62.0,10.0,86.0,39.5,41.0
443,male,25,197.0,98.0,22.0,107.0,40.8,132.0
444,female,35,156.0,56.0,21.0,96.0,40.4,109.0
445,male,28,177.0,73.0,22.0,100.0,40.5,114.0
446,female,36,180.0,82.0,8.0,94.0,39.8,37.0
447,female,27,176.0,68.0,20.0,100.0,40.4,106.0
448,male,57,194.0,96.0,28.0,107.0,40.8,215.0
449,female,26,166.0,62.0,13.0,95.0,40.3,61.0
450,male,52,190.0,96.0,29.0,110.0,40.9,228.0
451,male,42,186.0,88.0,3.0,83.0,38.6,9.0
452,male,46,177.0,82.0,28.0,111.0,40.9,211.0
453,male,57,196.0,99.0,24.0,98.0,40.4,161.0
454,male,52,178.0,81.0,4.0,83.0,39.0,14.0
455,male,54,179.0,81.0,8.0,89.0,39.7,37.0
456,male,46,193.0,90.0,24.0,103.0,40.8,170.0
457,male,37,199.0,105.0,3.0,83.0,38.5,10.0
458,female,44,156.0,55.0,3.0,85.0,38.7,12.0
459,male,39,175.0,74.0,16.0,100.0,40.4,89.0
460,female,35,166.0,66.0,24.0,102.0,40.6,135.0
461,female,54,174.0,70.0,20.0,102.0,40.6,119.0
462,female,70,160.0,63.0,4.0,86.0,39.1,18.0
463,male,61,170.0,81.0,9.0,89.0,40.0,45.0
